Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
1433B_MOUSE;1433G_MOUSE,ST-Ctrl,0.620339974365192,0.429605991973198,1.4439742134786,0.0,,,,0.8,0.0
1433F_MOUSE,ST-Ctrl,-0.565371910656954,0.429941030102388,-1.31499873487839,3.0,0.279993559715725,0.601421594822623,,0.3,0.0
1433G_MOUSE,ST-Ctrl,-0.281554386201124,0.523151970377476,-0.538188522921879,2.0,0.644327590428344,0.817158769794152,,0.533333333333333,0.133333333333333
1433T_MOUSE,ST-Ctrl,-0.366937306884905,0.568476628285103,-0.645474745359062,3.0,0.564588466940604,0.775423083239445,,0.5,0.2
2A5A_MOUSE,ST-Ctrl,0.408292384784265,0.169737233814344,2.40543795612252,2.0,0.137948354547263,0.492681690463479,,0.42,0.12
2A5A_MOUSE;2A5E_MOUSE,ST-Ctrl,0.295956002081589,0.208781666284141,1.41753827023685,1.0,0.391122131423366,0.666829042432996,,0.6,0.0
2A5B_MOUSE,ST-Ctrl,0.737072392824341,0.555337676835204,1.3272508305664,1.0,0.411063615962292,0.681664524795314,,0.633333333333333,0.0333333333333333
2AAA_MOUSE,ST-Ctrl,-0.228031523580943,0.67789638624882,-0.336381087444306,3.0,0.758738491751633,0.884408192779127,,0.483333333333333,0.0833333333333333
2ABA_MOUSE;2ABD_MOUSE,ST-Ctrl,0.407441767444278,0.291806599844811,1.39627331136775,2.0,0.297421224963574,0.611945984241497,,0.48,0.08
4F2_MOUSE,ST-Ctrl,-0.248873579053522,0.430736053281832,-0.577786737741878,7.0,0.581509262481202,0.780268959599233,,0.482352941176471,0.482352941176471
5NTD_MOUSE,ST-Ctrl,-0.500258523981656,0.293441483606817,-1.70479823722522,1.0,0.337722440469446,0.63815224210336,,0.733333333333333,0.0333333333333333
6PGD_MOUSE,ST-Ctrl,0.137889029844539,0.567460896451762,0.242993007459608,0.0,,,,0.483333333333333,0.0833333333333333
AAAT_MOUSE,ST-Ctrl,-0.147091663455874,0.0004613483759601,-318.829914920052,0.0,,,,0.7,0.1
AACS_MOUSE,ST-Ctrl,0.0137914846502156,0.185004605092309,0.0745467100309974,4.0,0.944154603170722,0.979098970363832,,0.0727272727272728,0.0727272727272727
AAK1_MOUSE,ST-Ctrl,0.486921818345885,0.301099148770723,1.6171477745248,4.0,0.181154073639572,0.525173955638619,,0.366666666666667,0.366666666666667
AAKG1_MOUSE,ST-Ctrl,1.0154318899852,0.18931348373794,5.36375893536897,0.0,,,,0.6,0.1
AAKG2_MOUSE,ST-Ctrl,0.0806537440934492,0.282274642518423,0.285727911561115,3.0,0.79367956883442,0.900748605716576,,0.62,0.22
AAPK2_MOUSE,ST-Ctrl,0.720890194400557,0.199903740390453,3.606186622584,2.0,0.0690287959688585,0.386040672425177,,0.35,0.05
AASD1_MOUSE,ST-Ctrl,0.0586557315179703,0.37049872589821,0.158315609252824,6.0,0.879402142042286,0.947009062688519,,0.40625,0.40625
AATM_MOUSE,ST-Ctrl,inf,,,,,0.0,oneConditionMissing,0.8,0.0
AB1IP_MOUSE,ST-Ctrl,-inf,,,,,0.0,oneConditionMissing,,
ABC8B_MOUSE,ST-Ctrl,0.684503746947982,0.46504866622578,1.47189702209716,4.0,0.215024152682117,0.554015359668053,,0.572727272727273,0.272727272727273
ABCA2_MOUSE,ST-Ctrl,-0.367847454293468,0.415221750378175,-0.885906034446512,5.0,0.416235804387127,0.68350273561926,,0.453333333333333,0.453333333333333
ABCA6_MOUSE,ST-Ctrl,1.32726316151935,0.235093498897771,5.64568211261557,5.0,0.0024198934468855,0.137803803774831,,0.38,0.28
ABCA7_MOUSE,ST-Ctrl,0.339378602841044,0.503154771121805,0.674501410538918,1.0,0.622225331601736,0.805970843280392,,0.5,0.0
ABCB6_MOUSE,ST-Ctrl,-0.404564735515345,0.353750710302255,-1.14364359910309,3.0,0.335760098913527,0.636738895272934,,0.366666666666667,0.266666666666667
ABCB9_MOUSE,ST-Ctrl,0.257561717283391,0.269317321474091,0.95635035976759,6.0,0.37582463696586,0.658049009232837,,0.62,0.52
ABCBA_MOUSE,ST-Ctrl,0.0317210240408847,0.299476508925757,0.105921576803036,1.0,0.932818726679418,0.975003858468199,,0.46,0.06
ABCD1_MOUSE,ST-Ctrl,0.95267395958151,0.19187312116545,4.96512462920759,0.0,,,,0.5,0.0
ABCF1_MOUSE,ST-Ctrl,-0.681874834986617,0.223484767272626,-3.05110206529113,4.0,0.0379872775017676,0.323679613367595,,0.288888888888889,0.288888888888889
ABCF2_MOUSE,ST-Ctrl,0.636696449789508,0.00105992754293,600.69808925752,0.0,,,,0.609090909090909,0.209090909090909
ABCF3_MOUSE,ST-Ctrl,0.648326662568163,0.523724356569963,1.23791581284144,1.0,0.432573363248874,0.695187294206762,,0.4,0.0
ABD12_MOUSE,ST-Ctrl,0.0892829161280146,0.27337887659743,0.326590398055846,3.0,0.765436034144895,0.88677395183829,,0.4,0.1
ABEC2_MOUSE,ST-Ctrl,inf,,,,,0.0,oneConditionMissing,0.7,0.0
ABHD6_MOUSE,ST-Ctrl,0.328475958845284,0.456702212691173,0.71923443705188,0.0,,,,0.533333333333333,0.133333333333333
ABHGA_MOUSE,ST-Ctrl,-0.460469777714922,0.276826145140121,-1.66338976935089,0.0,,,,0.4,0.0
ABLM1_MOUSE,ST-Ctrl,-0.381356166847515,0.357633788535739,-1.06633147949723,6.0,0.32728992125898,0.632975018642713,,0.352380952380952,0.352380952380952
ABLM2_MOUSE,ST-Ctrl,0.20853503117688,0.327174849713704,0.637380994778051,4.0,0.558532305929734,0.772998677892274,,0.61304347826087,0.51304347826087
ACACA_MOUSE,ST-Ctrl,0.101998828143958,0.280818397699228,0.363219892213775,5.0,0.731291402217083,0.867880489537476,,0.456,0.456
ACACB_MOUSE,ST-Ctrl,1.59707152313801,0.151576161282606,10.5364294069986,3.0,0.0018259275437166,0.137803803774831,,0.663636363636364,0.263636363636364
ACAD8_MOUSE,ST-Ctrl,-inf,,,,,0.0,oneConditionMissing,0.8,0.0
ACADL_MOUSE,ST-Ctrl,inf,,,,,0.0,oneConditionMissing,0.7,0.0
